section,expected_count,url
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2010-86516
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2010-116189
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2010-115884
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LFSIV/avgjorelse/lf-2010-63049
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2008-130030
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2010-17029
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LFSIV/avgjorelse/lf-2009-187906
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2009-57018
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2009-59797
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2009-45911
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2009-3900
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2008-74693
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2008-103502
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2008-56919
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2008-134402
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2007-100623
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2007-4676
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2006-125875
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2007-11097
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2006-51141
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LASIV/avgjorelse/la-2006-5237
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2005-183161
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2004-10818
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LFSIV/avgjorelse/lf-2004-24071
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2004-7353
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2004-40374
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LFSIV/avgjorelse/lf-2002-623
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2001-249-249a
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2025-198508
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2025-180124
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tsol-2025-181219
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2025-122510
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2025-88304
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2025-82137
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2025-71061
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2025-65581
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2025-82320
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tsos-2025-57056
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/toin-2025-70990
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2025-24526
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2024-196966
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2024-198902
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2025-10182
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tvin-2024-136597
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2024-173447
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/thod-2023-91939
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tnts-2024-71290
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2024-128387
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2024-76617
DECISIONS FROM THE DISTRICT COURTS,132.0,https://lovdata.no/pro/#document/TRSIV/avgjorelse/tosl-2024-61562
